dia,mes,anio,Tmax,Tmin
2,8,1961,20.5,8.2
3,8,1961,18.6,10.7
4,8,1961,20.7,7.6
5,8,1961,27.6,10.2
6,8,1961,21,10.6
7,8,1961,13,5.5
8,8,1961,13.9,7.4
9,8,1961,17.6,12.1
10,8,1961,16.2,11.9
11,8,1961,16.2,6.7
12,8,1961,19.7,13.6
13,8,1961,15.8,7.9
14,8,1961,18.5,0.1
15,8,1961,18.8,4.7
16,8,1961,20.7,5.7
17,8,1961,21.6,10.6
18,8,1961,16.8,8.7
19,8,1961,18,6.3
20,8,1961,22.2,7.8
21,8,1961,22.9,9
22,8,1961,17.6,13
23,8,1961,18,1.7
24,8,1961,12.3,8.6
25,8,1961,18.2,5.4
26,8,1961,16.9,5.8
27,8,1961,18.2,9.1
28,8,1961,18.1,11.1
